designation,full_name,close_approach_date,distance_au,dist_km,dist_lunar,distance_min_au,distance_max_au,velocity_km_s,v_rel_kmh,velocity_infinity_km_s,absolute_magnitude,is_future
2007 EF88,       (2007 EF88),2015-02-15 12:18,0.0893980659256549,13373760.0,34.79,0.0893931442926295,0.0894029875592189,7.79568650727075,28064.0,7.79186234421364,23.57,False
2015 AZ43,       (2015 AZ43),2015-02-15 12:35,0.0197346623389613,2952263.0,7.68,0.0197336076716039,0.0197357170057298,7.21629467457125,25979.0,7.1975605891688,23.5,False
2015 DN224,       (2015 DN224),2015-02-15 13:07,0.0531882163316274,7956844.0,20.7,0.0521177062613117,0.0542587114352814,17.0237259128047,61285.0,17.020782983346,24.6,False
2015 CU13,       (2015 CU13),2015-02-15 13:58,0.0764233527299098,11432771.0,29.74,0.075945964385889,0.0769007403714532,24.3054113059324,87499.0,24.3039768206012,23.6,False
2015 DC54,       (2015 DC54),2015-02-15 20:14,0.0159021265093608,2378924.0,6.19,0.0158480841797464,0.0159561666403929,7.51864482755668,27067.0,7.49632644884943,26.1,False
2015 CJ13,       (2015 CJ13),2015-02-15 22:09,0.0217790448399944,3258099.0,8.48,0.0217240440867475,0.0218340452826505,14.7927567373001,53254.0,14.7844840641418,24.05,False
2015 CL13,       (2015 CL13),2015-02-15 22:52,0.0051877630623435,776078.0,2.02,0.0051774174541302,0.0051981084405917,13.5987099392774,48955.0,13.5608884281675,25.66,False
2025 WO,       (2025 WO),2015-02-16 02:00,0.0658744419315505,9854676.0,25.64,0.0559308784985263,0.0769777521533508,10.1492559406997,36537.0,10.1452698562504,27.44,False
2022 FQ1,       (2022 FQ1),2015-02-16 09:13,0.0922274648675555,13797032.0,35.89,0.087702860534389,0.112992562211774,8.62676133688958,31056.0,8.62341177023932,25.35,False
2020 SN6,       (2020 SN6),2015-02-16 16:16,0.0098583295642549,1474785.0,3.84,0.0001295187485566,0.0558666686836819,5.25063370508422,18902.0,5.1989037677595,28.84,False
2015 DD1,       (2015 DD1),2015-02-17 07:38,0.000262395032203,39254.0,0.1,0.0002622544652819,0.0002625355742164,8.19696123621364,29509.0,6.84698893499363,30.4,False
2015 DT198,       (2015 DT198),2015-02-17 09:12,0.0769930170486964,11517991.0,29.96,0.0763708897589829,0.0776151428960708,21.8180569737038,78545.0,21.816470763518,23.8,False
